unique_spon_names,normed_spon_names
"Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology","Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology"
"West China Hospital, Sichuan University",West China Hospital of Sichuan University
Zhongnan Hospital of Wuhan University,Zhongnan Hospital of Wuhan University
Tongji Hospital,Tongji Hospital
"Union Hospital, Tongji Medical College, Huazhong University of Science and Technology","Union Hospital, Tongji Medical College, Huazhong University of Science and Technology"
Shanghai Public Health Clinical Center,Shanghai Public Health Clinical Center
Renmin Hospital of Wuhan University,Renmin Hospital of Wuhan University
The First Affiliated Hospital of Zhejiang University School of Medicine,The First Affiliated Hospital of Zhejiang University School of Medicine
The First Affiliated Hospital of Guangzhou Medical University,The First Affiliated Hospital of Guangzhou Medical University
Hospital of Chengdu University of Traditional Chinese Medicine,Hospital of Chengdu University of Traditional Chinese Medicine
Wuhan Jinyintan Hospital (Wuhan Infectious Diseases Hospital),Wuhan Jinyintan Hospital (Wuhan Infectious Diseases Hospital)
Shandong Provincial Chest hospital,Shandong Provincial Chest hospital
Hubei Provincial Hospital of TCM,Hubei Hospital of Traditional Chinese Medicine
West China Hospital of Sichuan University,West China Hospital of Sichuan University
Peking University Third Hospital,Peking University Third Hospital
The First Affiliated Hospital of Nanchang University,The First Affiliated Hospital of Nanchang University
Union Hospital affiliated to Tongji Medical College of Huazhong University of Science and Technology,"Union Hospital, Tongji Medical College, Huazhong University of Science and Technology"
"Tongji Hospital, Tongji Medical College,Huazhong University of Science and Technology","Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology"
Nanjing Second Hospital,Nanjing Second Hospital
Zhejiang Chinese Medical University,Zhejiang Chinese Medical University
China Academy of Chinese Medical Sciences,China Academy of Chinese Medical Sciences
Chinese PLA General Hospital,Chinese PLA General Hospital
The First Affiliated Hospital of University of science and technology of China (Anhui Provincial Hospital),The First Affiliated Hospital of University of science and technology of China (Anhui Provincial Hospital)
"1. Xinhua affiliated hospital, Hubei University of Chinese Medicine; 2. Hubei Provincial Hospital of Integrated Chinese and Western Medicine","Xinhua Affiliated Hospital, Hubei University of Chinese Medicine; Hubei Provincial Hospital of Integrated Chinese and Western Medicine"
Zhengzhou People's Hospital,Zhengzhou People's Hospital
"Ganzi Hospital of West China Hospital, Sichuan University","Ganzi Hospital of West China Hospital, Sichuan University"
Guangdong Provincial Hospital of Chinese Medicine,Guangdong Provincial Hospital of Chinese Medicine
The Fifth Affiliated Hospital of Sun Yat-Sen University,The Fifth Affiliated Hospital of Sun Yat-Sen University
"HwaMei Hospital, University of Chinese Academy of Sciences","Hwa Mei Hospital, University of Chinese Academy of Sciences"
Shanghai Changzheng Hospital,Shanghai Changzheng Hospital
Shanghai University of TCM,Shanghai University of Traditional Chinese Medicine
Peking University First Hospital,Peking University First Hospital
Qilu Hospital of Shandong University,Qilu Hospital of Shandong University
"Xiangyang Central Hospital, Affiliated Hospital of Hubei University of Arts and Sciences","Xiangyang Central Hospital, Affiliated Hospital of Hubei University of Arts and Sciences"
Beijing 302 Hospital,Beijing 302 Hospital
"Union Hospital, Tongji Medical College, Huazhong University of Science & Technology","Union Hospital, Tongji Medical College, Huazhong University of Science and Technology"
The Third People's Hospital of Shenzhen,The Third People's Hospital of Shenzhen
The First Affiliated Hospital of Fujian Medical University,The First Affiliated Hospital of Fujian Medical University
Dongzhimen Hospital Affiliated to Beijing University of Chinese Medicine,Dongzhimen Hospital Affiliated to Beijing University of Chinese Medicine
"Wuhan Union Hospital, China","Wuhan Union Hospital, China"
Wuhan Third Hospital,Wuhan Third Hospital
The Third Affiliated Hospital of the Second Military Medical University,The Third Affiliated Hospital of the Second Military Medical University
Jiangxi Qingfeng Pharmaceutical Co. Ltd.,Jiangxi Qingfeng Pharmaceutical Co. Ltd.
"Third Affiliated Hospital, Sun Yat-Sen University","Third Affiliated Hospital, Sun Yat-Sen University"
The First Affiliated Hospital of Wenzhou Medical University,The First Affiliated Hospital of Wenzhou Medical University
The First Affiliated Hospital of Hu'nan University of traditional Chinese Medicine,The First Affiliated Hospital of Hu'nan University of Traditional Chinese Medicine
First Affiliated Hospital of Wenzhou Medical University,The First Affiliated Hospital of Wenzhou Medical University
Massachusetts General Hospital,Massachusetts General Hospital
Jingzhou First People's Hospital,Jingzhou First People's Hospital
the Second Affiliated hospital of Xi'an Jiaotong University,The Second Affiliated Hospital of Xi'an Jiaotong University
Affiliated Hospital of Changchun University of traditional Chinese Medicine,Affiliated Hospital of Changchun University of Traditional Chinese Medicine
Affiliated Hospital of traditional Chinese and Western Medicine Nanjing University of Chinese Medicine,Affiliated Hospital of Traditional Chinese and Western Medicine Nanjing University of Chinese Medicine
The First Affiliated Hospital of Medical College of Zhejiang University,The First Affiliated Hospital of Medical College of Zhejiang University
National Institute of Allergy and Infectious Diseases (NIAID),National Institute of Allergy and Infectious Diseases (NIAID)
The Fifth Affiliated Hospital Sun Yat-Sen University,The Fifth Affiliated Hospital of Sun Yat-Sen University
Xiangya Hospital of Central South University,Xiangya Hospital of Central South University
Peking Union Medical College Hospital,Peking Union Medical College Hospital
Huangshi Hospital of Traditional Chinese Medicine,Huangshi Hospital of Traditional Chinese Medicine
Xijing Hospital,Xijing Hospital
Shenzhen Geno-Immune Medical Institute,Shenzhen Geno-Immune Medical Institute
China-Japan friendship hospital,China-Japan Friendship Hospital
The First Affiliated Hospital of He'nan University of Chinese Medicine,The First Affiliated Hospital of He'nan University of Chinese Medicine
Zhongshan Hospital Affiliated to Xiamen University,Zhongshan Hospital Affiliated to Xiamen University
Maoming People's Hospital,Maoming People's Hospital
Shenzhen Third People's Hospital,Shenzhen Third People's Hospital
Longhua Hospital Affiliated to Shanghai University of Traditional Chinese Medicine,Longhua Hospital Affiliated to Shanghai University of Traditional Chinese Medicine
Chongqing Public Health Medical Center,Chongqing Public Health Medical Center
The First Affiliated Hospital of Zhengzhou University,The First Affiliated Hospital of Zhengzhou University
Shanghai University of Traditional Chinese Medicine,Shanghai University of Traditional Chinese Medicine
Ningbo First Hospital,Ningbo First Hospital
"Xiyuan Hospital, Chinese Academy of Traditional Chinese Medicine","Xiyuan Hospital, Chinese Academy of Traditional Chinese Medicine"
Hubei Hospital of Traditional Chinese Medicine,Hubei Hospital of Traditional Chinese Medicine
Guangzhou Eighth People's Hospital,Guangzhou Eighth People's Hospital
Capital Medical University,Capital Medical University
Enze Hospital of Taizhou Enze Medical Center (Group),Enze Hospital of Taizhou Enze Medical Center (Group)
Children's Hospital of Fudan University,Children's Hospital of Fudan University
ZhiYong Peng,ZhiYong Peng
Wuhan Hospital of Integrated Traditional Chinese and Western Medicine,Wuhan Hospital of Integrated Traditional Chinese and Western Medicine
Gilead Sciences,Gilead Sciences
Chongqing Medical University,Chongqing Medical University
The Third Affiliated Hospital of Sun Yat-sen University,The Third Affiliated Hospital of Sun Yat-sen University
Shandong Provincial Hospital,Shandong Provincial Hospital
Beijing Chao Yang Hospital,Beijing Chao Yang Hospital
Hubei 672 Orthopaedics Hospital of Integrated Chinese&Western Medicine,Hubei Provincial Hospital of Integrated Chinese and Western Medicine
"Ruijin Hospital, Shanghai Jiaotong University School of Medicine","Ruijin Hospital, Shanghai Jiaotong University School of Medicine"
The Second Affiliated Hospital of Guizhou University of traditional Chinese Medicine,The Second Affiliated Hospital of Guizhou University of traditional Chinese Medicine
First Affiliated Hospital of Fujian Medical University,The First Affiliated Hospital of Fujian Medical University
The Second Affiliated Hospital of Chongqing Medical University,The Second Affiliated Hospital of Chongqing Medical University
"Jinling Hospital, Medical School of Nanjing University","Jinling Hospital, Medical School of Nanjing University"
West China Hospital,West China Hospital
Emergency Department of Zhongnan hospital of Wuhan University,Zhongnan Hospital of Wuhan University
"Dalian Medical University, Dalian, China.","Dalian Medical University, Dalian, China."
Tongji Hospital of Tongji Medical College of Huazhong University of Science and Technology,"Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology"
Chengdu University of Traditional Chinese Medicine,Chengdu University of Traditional Chinese Medicine
"Hebei Yiling Hospital, Renmin Hospital of Wuhan University",Hebei Yiling Hospital; Renmin Hospital of Wuhan University
ShuGuang Hospital,ShuGuang Hospital
Fujian Provincial Hospital,Fujian Provincial Hospital
Affiliated Zhongshan Hospital of Dalian University,Affiliated Zhongshan Hospital of Dalian University
Xianning Central Hospital,Xianning Central Hospital
Affiliated Hospital of Guangdong Medical University,Affiliated Hospital of Guangdong Medical University
Rajavithi Hospital,Rajavithi Hospital
The Second Hospital of Nanjing Medical University,The Second Hospital of Nanjing Medical University
Xiangyang 1st People's Hospital,Xiangyang First People's Hospital
"The First People's Hospital of Jiangxia District, Wuhan","The First People's Hospital of Jiangxia District, Wuhan"
Puren Hospital of Wuhan City,Puren Hospital of Wuhan City
Tang-Du Hospital,Tang-Du Hospital
Tongde Hospital of Zhejiang Province,Tongde Hospital of Zhejiang Province
"The Third Xiangya Hospital, Central South University","The Third Xiangya Hospital, Central South University"
The First Affiliated Hospital of Zhejiang University of Traditional Chinese Medicine,The First Affiliated Hospital of Zhejiang University of Traditional Chinese Medicine
Shanghai 10th people's hospital,Shanghai 10th people's hospital
Beijing Ditan Hospital,Beijing Ditan Hospital
"Guangzhou reborn health management consultation co., LTD","Guangzhou reborn health management consultation co., LTD"
Xinyang Central Hospital,Xinyang Central Hospital
Tongji Hospital of Tongji University,"Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology"
University of Oxford,University of Oxford
The Fourth Hospital of Hebei Medical University,The Fourth Hospital of Hebei Medical University
"Yueyang Hospital of Integrated Traditional Chinese and Western Medicine, Shanghai University of Traditional Chinese Medicine",Yueyang Hospital of Integrated Traditional Chinese Medicine and Western Medicine Affiliated to Shanghai University of Tranditional Medicine
Affiliated Hospital of Shandong University of Traditional Chinese Medicine,Affiliated Hospital of Shandong University of Traditional Chinese Medicine
University of Macau,University of Macau
Shenyang Sixth People's Hospita,Shenyang Sixth People's Hospital
"Qingdao East Sea Pharmaceutical Co., Ltd.","Qingdao East Sea Pharmaceutical Co., Ltd."
"Clinical Research Institute, Shenzhen-Peking University-The Hong Kong University of Science & Technology Medical Center",Shenzhen-Peking University; The Hong Kong University of Science & Technology Medical Center
First Affiliated Hospital of Zhejiang University,The First Affiliated Hospital of Zhejiang University
Xi'an Chest Hospital,Xi'an Chest Hospital
Jieming QU,Jieming QU
Hubei Provincial Hospital Of TCM,Hubei Hospital of Traditional Chinese Medicine
The First Hospital of Shanxi Medical University,The First Hospital of Shanxi Medical University
Hebei Yiling Hospital?Renmin Hospital of Wuhan University,Hebei Yiling Hospital; Renmin Hospital of Wuhan University
"Beijing You'an Hospital, Capital Medical University","Beijing You'an Hospital, Capital Medical University"
Central Theater General Hospital of PLA,Central Theater General Hospital of PLA
"CAR-T (Shanghai) Biotechnology Co., Ltd.","CAR-T (Shanghai) Biotechnology Co., Ltd."
"Hunan yuanpin Cell Biotechnology Co., Ltd","Hunan yuanpin Cell Biotechnology Co., Ltd"
Tongji Hospital of Tongji Medical College; Huazhong Science and Technology University,"Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology"
The Chinese University of Hong Kong,The Chinese University of Hong Kong
"West China Second Hospital, Sichuan University","West China Second Hospital, Sichuan University"
Guangdong Provincial Hospital of Chinese Medicine - Zhuhai Hospital,Guangdong Provincial Hospital of Chinese Medicine - Zhuhai Hospital
"Daping Hospital,Army Medical University","Daping Hospital,Army Medical University"
"Tongji Hospital, Tongji Medical College, Huazhong University of Science & Technology","Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology"
The First Hospital of Peking University,The First Hospital of Peking University
Xiangyang First People's Hospital,Xiangyang First People's Hospital
The University of Hong Kong,The University of Hong Kong
"Institute of Integrative Medicine of Dalian Medical University, Dalian, China.","Institute of Integrative Medicine of Dalian Medical University, Dalian, China."
Beijing Geriatric Hospital,Beijing Geriatric Hospital
Second Affiliated Hospital of Wenzhou Medical University,Second Affiliated Hospital of Wenzhou Medical University
"Department of Critical Care Medicine, West China Hospital of Sichuan University",West China Hospital of Sichuan University
Tongji Hospital Affiliated to Tongji Medical College of Huazhong University of science and technology,"Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology"
"Zhongshan Hospital, Fudan University","Zhongshan Hospital, Fudan University"
"Ruijin Hospital, Shanghai Jiao Tong University School of Medicine","Ruijin Hospital, Shanghai Jiao Tong University School of Medicine"
The Second Hospital of Shanxi Medical University,The Second Hospital of Shanxi Medical University
The First Affiliated Hospital of HeNan University of CM,The First Affiliated Hospital of He'nan University of Chinese Medicine
"Cancer Institute, Longhua Hospital, Shanghai University of Traditional Chinese Medicine","Cancer Institute, Longhua Hospital, Shanghai University of Traditional Chinese Medicine"
"Ningbo First Hospital, Ningbo Hospital of Zhejiang University","Ningbo First Hospital, Ningbo Hospital of Zhejiang University"
Shenzhen Hospital of Southern Medical University,Shenzhen Hospital of Southern Medical University
Nanchang Ninth Hospital,Nanchang Ninth Hospital
Wuhan Jin Yin-tan hospital,Wuhan Jinyintan Hospital (Wuhan Infectious Diseases Hospital)
"Union hospital of Tongji Medical College, Huazhong University of Science and Technology","Union Hospital, Tongji Medical College, Huazhong University of Science and Technology"
The Second Affiliated Hospital of Xi'an Jiaotong University,The Second Affiliated Hospital of Xi'an Jiaotong University
"Department of Nephrology, Wuhan children's Hospital","Wuhan Children's Hospital, Tongji Medical College, Huazhong University of Science & Technology"
Hubei Provincial Integrated Hospital of traditional Chinese and Western Medicine,Hubei Provincial Hospital of Integrated Chinese and Western Medicine
Wuhan Red Cross Hospital,Wuhan Red Cross Hospital
"Institut National de la Sante Et de la Recherche Medicale, France","Institut National de la Santé Et de la Recherche Médicale, France"
"Sir Run Run Shaw Hospital, School of Medicine, Zhejiang University","Sir Run Run Shaw Hospital, School of Medicine, Zhejiang University"
Huashan Hospital Fudan Universtiy,Huashan Hospital Fudan Universtiy
Sichuan Academy of Medical Sciences & Sichuan Provincial Peoples Hospital,Sichuan Academy of Medical Sciences & Sichuan Provincial People's Hospital
"Department of critical care medicine, the third affiliated hospital of zunyi medical university",Third Affiliated Hospital of Zunyi Medical University
"West China Second University Hospital, Sichuan University","West China Second Hospital, Sichuan University"
Lishui Central Hospital,Lishui Central Hospital
"Southeast University, China","Southeast University, China"
Shenzhen Second People's Hospital,Shenzhen Second People's Hospital
Longhua Hospital Affiliated to Shanghai University of traditional Chinese Medicine,Longhua Hospital Affiliated to Shanghai University of Traditional Chinese Medicine
